Income,Food,Transport,Shopping,Bills,TotalExpense
5000,600,250,400,350,1600
5500,700,300,450,400,1850
6000,800,350,500,450,2100
6500,900,400,550,500,2350
7000,950,450,600,550,2550
7500,1000,500,650,600,2750
8000,1100,550,700,650,3000
8500,1200,600,750,700,3250
9000,1300,650,800,750,3500
9500,1400,700,850,800,3750
10000,1500,750,900,850,4000
10500,1550,800,950,900,4200
11000,1600,850,1000,950,4400
11500,1700,900,1050,1000,4650
12000,1800,950,1100,1050,4900
12500,1850,1000,1150,1100,5100
13000,1900,1050,1200,1150,5300
13500,2000,1100,1250,1200,5550
14000,2100,1150,1300,1250,5800
14500,2200,1200,1350,1300,6050
15000,2300,1250,1400,1350,6300
15500,2350,1300,1450,1400,6500
16000,2400,1350,1500,1450,6700
16500,2500,1400,1550,1500,6950
17000,2600,1450,1600,1550,7200
17500,2650,1500,1650,1600,7400
18000,2700,1550,1700,1650,7600
18500,2800,1600,1750,1700,7850
19000,2900,1650,1800,1750,8100
19500,3000,1700,1850,1800,8350
20000,3100,1750,1900,1850,8600
